HGNC ID	Approved symbol	Approved name	Previous symbols	Alias symbols	Accession numbers	RefSeq IDs
HGNC:4355	GLUT3	symbol withdrawn, see [HGNC:11007](/data/gene-symbol-report/#!/hgnc_id/HGNC:11007)				
HGNC:4356	GLUT3P1	symbol withdrawn, see [HGNC:11008](/data/gene-symbol-report/#!/hgnc_id/HGNC:11008)				
HGNC:4357	GLUT4	symbol withdrawn, see [HGNC:11009](/data/gene-symbol-report/#!/hgnc_id/HGNC:11009)				
HGNC:4358	GLUT5	symbol withdrawn, see [HGNC:11010](/data/gene-symbol-report/#!/hgnc_id/HGNC:11010)				
HGNC:4359	GLUT6	symbol withdrawn, see [HGNC:11008](/data/gene-symbol-report/#!/hgnc_id/HGNC:11008)				
HGNC:4360	GLVR1	symbol withdrawn, see [HGNC:10946](/data/gene-symbol-report/#!/hgnc_id/HGNC:10946)				
HGNC:4361	GLVR2	symbol withdrawn, see [HGNC:10947](/data/gene-symbol-report/#!/hgnc_id/HGNC:10947)				
HGNC:4362	GLXR	symbol withdrawn, see [HGNC:4570](/data/gene-symbol-report/#!/hgnc_id/HGNC:4570)				
HGNC:13734	GLYAT	glycine-N-acyltransferase		GAT, ACGNAT	AF023466	NM_201648
HGNC:30519	GLYATL1	glycine-N-acyltransferase like 1		MGC15397, FLJ34646	AK091965	NM_080661
HGNC:58086	GLYATL1-AS1	GLYATL1 antisense RNA 1				
HGNC:37865	GLYATL1B	glycine-N-acyltransferase like 1B	GLYATL1P3			
HGNC:37866	GLYATL1P1	glycine-N-acyltransferase like 1 pseudogene 1				NG_022951
HGNC:37863	GLYATL1P2	glycine-N-acyltransferase like 1 pseudogene 2				XR_037279
HGNC:37864	GLYATL1P4	glycine-N-acyltransferase like 1 pseudogene 4				
HGNC:24178	GLYATL2	glycine-N-acyltransferase like 2		BXMAS2-10, MGC24009	AF426250	NM_145016
HGNC:21349	GLYATL3	glycine-N-acyltransferase like 3	C6orf140	bA28H17.2		NM_001010904
HGNC:4363	GLYB	glycine B complementing				
HGNC:18023	GLYCAM1	glycosylation dependent cell adhesion molecule 1 (pseudogene)			AJ489589	NR_003039
HGNC:24247	GLYCTK	glycerate kinase		HBEBP4, HBEBP2		NM_145262
HGNC:41043	GLYCTK-AS1	GLYCTK antisense RNA 1				
HGNC:4364	GLYD	symbol withdrawn, see [HGNC:4570](/data/gene-symbol-report/#!/hgnc_id/HGNC:4570)	GLYD			
HGNC:24434	GLYR1	glyoxylate reductase 1 homolog		BM045, HIBDL, NP60, N-PAC	AF244907	NM_032569
HGNC:56963	GLYR1P1	GLYR1 pseudogene 1				NG_025012
HGNC:4365	GLYS1	glycosuria 1, renal				
HGNC:4366	GLYT2L	symbol withdrawn, see [HGNC:4254](/data/gene-symbol-report/#!/hgnc_id/HGNC:4254)				
HGNC:4367	GM2A	ganglioside GM2 activator		SAP-3, GM2-AP, GM2AP		NM_000405
HGNC:4368	GM2AP1	GM2A pseudogene 1	GM2AP		L01440	
HGNC:38002	GM2AP2	GM2A pseudogene 2				
HGNC:23843	GMCL1	germ cell-less 1, spermatogenesis associated		FLJ13057, BTBD13, GCL1, SPATA29	AK023119	NM_178439
HGNC:42863	GMCL1P2	GMCL1 pseudogene 2				
HGNC:19717	GMCL2	germ cell-less 2, spermatogenesis associated	GMCL1L, GMCL1P1	GCL	AK315701	NM_001358008
HGNC:4369	GMDS	GDP-mannose 4,6-dehydratase		GMD, SDR3E1	AF042377	
HGNC:48993	GMDS-DT	GMDS divergent transcript	GMDS-AS1			NR_046229
HGNC:4370	GMEB1	glucocorticoid modulatory element binding protein 1		P96PIF, PIF96	AF099013	NM_006582
HGNC:4371	GMEB2	glucocorticoid modulatory element binding protein 2		P79PIF, KIAA1269, PIF79	AF173867	NM_012384
HGNC:4372	GMFA	glia maturation factor alpha				
HGNC:4373	GMFB	glia maturation factor beta		GMF	M86492	NM_004124
HGNC:38654	GMFBP1	glia maturation factor beta pseudogene 1				NG_023431
HGNC:4374	GMFG	glia maturation factor gamma			AB001993	
HGNC:24852	GMIP	GEM interacting protein		ARHGAP46	AF132541	NM_016573
HGNC:4375	GML	glycosylphosphatidylinositol anchored molecule like		LY6DL	D84290	NM_002066
HGNC:40049	GMNC	geminin coiled-coil domain containing		GEMC1	BC031680	NM_001146686
HGNC:17493	GMNN	geminin DNA replication inhibitor		Gem	AF067855	NM_015895
HGNC:22923	GMPPA	GDP-mannose pyrophosphorylase A			AF135422	NM_013335
HGNC:22932	GMPPB	GDP-mannose pyrophosphorylase B		KIAA1851	AF135421	NM_013334
HGNC:4376	GMPR	guanosine monophosphate reductase		GMPR1		
HGNC:4377	GMPR2	guanosine monophosphate reductase 2				NM_016576
HGNC:4378	GMPS	guanine monophosphate synthase		GATD7	U10860	
HGNC:39428	GMPSP1	guanine monophosphate synthase pseudogene 1				NG_023314
HGNC:4379	GNA11	G protein subunit alpha 11	HHC2	FBH, FBH2, FHH2	AF493900	NM_002067
HGNC:4380	GNA12	G protein subunit alpha 12		gep	L01694	NM_007353
HGNC:4381	GNA13	G protein subunit alpha 13		G13, MGC46138	L22075	NM_006572
HGNC:54705	GNA13P1	GNA13 pseudogene 1				NG_023575
HGNC:4382	GNA14	G protein subunit alpha 14			AF105201	
HGNC:50451	GNA14-AS1	GNA14 antisense RNA 1			BI830360	
HGNC:4383	GNA15	G protein subunit alpha 15		GNA16		NM_002068
HGNC:55293	GNA15-DT	GNA15 divergent transcript				NR_110670
HGNC:4384	GNAI1	G protein subunit alpha i1			AL049933	NM_002069
HGNC:4385	GNAI2	G protein subunit alpha i2	GNAI2B	GIP	X04828	NM_002070
HGNC:4386	GNAI2P1	G protein subunit alpha i2 pseudogene 1	GNAI2A, GNAI2L			
HGNC:45110	GNAI2P2	G protein subunit alpha i2 pseudogene 2				NG_030117
HGNC:4387	GNAI3	G protein subunit alpha i3		87U6	M27543	NM_006496
HGNC:4388	GNAL	G protein subunit alpha L			AF493893	NM_182978, NM_002071
HGNC:4389	GNAO1	G protein subunit alpha o1		G-ALPHA-o		NM_020988
HGNC:24498	GNAO1-AS1	symbol withdrawn, see [HGNC:27543](/data/gene-symbol-report/#!/hgnc_id/HGNC:27543)				
HGNC:27543	GNAO1-DT	GNAO1 divergent transcript	GNAO1-AS1			NR_027078
HGNC:4390	GNAQ	G protein subunit alpha q		G-ALPHA-q, GAQ		NM_002072
HGNC:4391	GNAQP1	G protein subunit alpha q pseudogene 1	GNAQP		U40037	NG_000862
HGNC:4392	GNAS	GNAS complex locus	GNAS1	NESP55, NESP, GNASXL, GPSA, SCG6, SgVI	M21142	NM_000516
HGNC:24872	GNAS-AS1	GNAS antisense RNA 1	GNASAS, GNAS-AS	SANG, NESP-AS, NESPAS, GNAS1AS, NCRNA00075	AJ251759	NR_002785
HGNC:4393	GNAT1	G protein subunit alpha transducin 1		CSNBAD3		NM_000172
HGNC:4394	GNAT2	G protein subunit alpha transducin 2		ACHM4	BC000233	NM_005272
HGNC:22800	GNAT3	G protein subunit alpha transducin 3		gustducin, GDCA		NM_001102386
HGNC:4395	GNAZ	G protein subunit alpha z				NM_002073
HGNC:4396	GNB1	G protein subunit beta 1			BC004186	NM_002074
HGNC:55772	GNB1-DT	GNB1 divergent transcript				NR_168263
HGNC:4397	GNB1L	G protein subunit beta 1 like		GY2, WDR14	AF238328	
HGNC:4398	GNB2	G protein subunit beta 2			M16514	NM_005273
HGNC:4400	GNB3	G protein subunit beta 3				NM_002075
HGNC:20731	GNB4	G protein subunit beta 4			AF300648	NM_021629
HGNC:4401	GNB5	G protein subunit beta 5		GB5	AF017656	
HGNC:23657	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	IBM2	Uae1	AF051852	NM_005476
HGNC:4404	GNG2	G protein subunit gamma 2			AK001024	
HGNC:4405	GNG3	G protein subunit gamma 3			AF075042	NM_012202
HGNC:4406	GNG3LG	symbol withdrawn, see [HGNC:15832](/data/gene-symbol-report/#!/hgnc_id/HGNC:15832)		GNG3LN		
HGNC:4407	GNG4	G protein subunit gamma 4			BC022485	NM_004485
HGNC:4408	GNG5	G protein subunit gamma 5			AF038955	NM_005274
HGNC:24826	GNG5B	G protein subunit gamma 5B	GNG5P2			NM_001396022
HGNC:4409	GNG5P1	G protein subunit gamma 5 pseudogene 1	GNG5P			NG_006561
HGNC:33552	GNG5P3	G protein subunit gamma 5 pseudogene 3				NG_006562
HGNC:33553	GNG5P4	G protein subunit gamma 5 pseudogene 4				NG_006563
HGNC:33554	GNG5P5	G protein subunit gamma 5 pseudogene 5				NG_006564
HGNC:4410	GNG7	G protein subunit gamma 7		FLJ00058	AB010414	NM_052847
HGNC:19664	GNG8	G protein subunit gamma 8			AF493875	
HGNC:4402	GNG10	G protein subunit gamma 10				
HGNC:49502	GNG10P1	G protein subunit gamma 10 pseudogene 1				NG_027859
HGNC:4403	GNG11	G protein subunit gamma 11		GNGT11		NM_004126
HGNC:19663	GNG12	G protein subunit gamma 12			AF119663	
HGNC:43938	GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1				NR_040077
HGNC:14131	GNG13	G protein subunit gamma 13		h2-35, G(gamma)13	AB030207	NM_016541
HGNC:53439	GNG14	G protein subunit gamma 14				NM_001316692
HGNC:4411	GNGT1	G protein subunit gamma transducin 1		GNG1		NM_021955
HGNC:4412	GNGT2	G protein subunit gamma transducin 2		GNG9		NM_031498
HGNC:4413	GNL1	G protein nucleolar 1 (putative)		HSR1		
HGNC:29925	GNL2	G protein nucleolar 2		Ngp-1, HUMAUANTIG, Nog2, Nug2	L05425	NM_013285
HGNC:50779	GNL2P1	G protein nucleolar 2 pseudogene 1				
HGNC:29931	GNL3	G protein nucleolar 3		C77032, E2IG3, MGC800, NS, Nug1	AK027514	NM_014366
HGNC:25553	GNL3L	G protein nucleolar 3 like		FLJ10613, GNL3B	AK001475	NM_019067
HGNC:25733	GNL3LP1	G protein nucleolar 3 like pseudogene 1	GNL3LP	FLJ12595	AK022657	NG_005649
HGNC:4414	GNLY	granulysin	LAG2	NKG5, LAG-2, D2S69E, TLA519	X54101	NM_006433
HGNC:4415	GNMT	glycine N-methyltransferase			AF101475	NM_018960
HGNC:4416	GNPAT	glyceronephosphate O-acyltransferase		DHAPAT, DAPAT, DAP-AT	AF043937	
HGNC:34031	GNPATP	glyceronephosphate O-acyltransferase pseudogene				NG_007472
HGNC:4417	GNPDA1	glucosamine-6-phosphate deaminase 1	GNPI	GNPDA, HLN, GPI, KIAA0060	AF048826	NM_005471
HGNC:21526	GNPDA2	glucosamine-6-phosphate deaminase 2		SB52	AF247786	NM_138335
HGNC:19980	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1		Gpnat1, FLJ10607	AK001469	
HGNC:4418	GNPTA	symbol withdrawn, see [HGNC:29670](/data/gene-symbol-report/#!/hgnc_id/HGNC:29670)				
HGNC:29670	GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta	GNPTA	KIAA1208, MGC4170	AY687932	
HGNC:23026	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma	GNPTAG, C16orf27	CAB56184, c316G12.3	BC014592	NM_032520
HGNC:4419	GNRH1	gonadotropin releasing hormone 1	GRH, GNRH, LHRH		X01059	NM_001083111
HGNC:4420	GNRH2	gonadotropin releasing hormone 2			AF036329	NM_001501
HGNC:4421	GNRHR	gonadotropin releasing hormone receptor	GRHR	LHRHR		
HGNC:16341	GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene)		GNRHR2P	AF403014	NR_002328
HGNC:39424	GNRHR2P1	GNRHR2 pseudogene 1				NG_003256
HGNC:4422	GNS	glucosamine (N-acetyl)-6-sulfatase				
HGNC:4423	GNT1	symbol withdrawn, see [HGNC:12530](/data/gene-symbol-report/#!/hgnc_id/HGNC:12530)				
HGNC:4424	GOLGA1	golgin A1		golgin-97, MGC33154	U51587	NM_002077
HGNC:4425	GOLGA2	golgin A2		GM130, golgin-95	L06147	NM_004486
HGNC:31052	GOLGA2P1	GOLGA2 pseudogene 1				
HGNC:16479	GOLGA2P2Y	GOLGA2 pseudogene 2 Y-linked	GOLGA2LY1, GOLGA2P2		AF332229	NR_001555
HGNC:32426	GOLGA2P3Y	GOLGA2 pseudogene 3 Y-linked	GOLGA2LY2, GOLGA2P3			NR_002195
HGNC:38600	GOLGA2P4	GOLGA2 pseudogene 4				
HGNC:25315	GOLGA2P5	GOLGA2 pseudogene 5	GOLGA2L1, GOLGA2B	DKFZp434M0331	AL137720	NR_024261
HGNC:44948	GOLGA2P6	GOLGA2 pseudogene 6				
HGNC:49516	GOLGA2P7	GOLGA2 pseudogene 7				
HGNC:49922	GOLGA2P8	GOLGA2 pseudogene 8				
HGNC:49921	GOLGA2P9	GOLGA2 pseudogene 9				
HGNC:26229	GOLGA2P10	GOLGA2 pseudogene 10		FLJ22795, AgSK1		NR_026811
HGNC:26788	GOLGA2P11	GOLGA2 pseudogene 11		FLJ38723		
HGNC:4426	GOLGA3	golgin A3		golgin-160, GCP170, MEA-2	AF485338	NM_005895
HGNC:4427	GOLGA4	golgin A4		GOLG, GCP2, p230, golgin-240	U31906	NM_002078
HGNC:26469	GOLGA4-AS1	GOLGA4 antisense RNA 1				NR_149029
HGNC:18660	GOLGA4P1	golgin A4 pseudogene 1				
HGNC:20727	GOLGA4P2	golgin A4 pseudogene 2				
HGNC:43786	GOLGA4P3	golgin A4 pseudogene 3				NG_001019
HGNC:4428	GOLGA5	golgin A5		ret-II, golgin-84, rfg5, GOLIM5	AF085199	
HGNC:43925	GOLGA5P1	golgin A5 pseudogene 1				
HGNC:13567	GOLGA6A	golgin A6 family member A	GOLGA6	GLP	AF263742	NM_001038640
HGNC:32205	GOLGA6B	golgin A6 family member B				NM_018652
HGNC:32206	GOLGA6C	golgin A6 family member C				NM_001164404
HGNC:32204	GOLGA6D	golgin A6 family member D				NM_001145224
HGNC:55708	GOLGA6EP	golgin A6 family member E, pseudogene				
HGNC:49206	GOLGA6FP	golgin A6 family member F, pseudogene				
HGNC:55709	GOLGA6GP	golgin A6 family member G, pseudogene				
HGNC:37444	GOLGA6L1	golgin A6 family like 1			AK097517	NM_001001413
HGNC:26695	GOLGA6L2	golgin A6 family like 2		CT105, FLJ36144	AK093463	NM_182561
HGNC:37441	GOLGA6L3P	golgin A6 family like 3, pseudogene	GOLGA6L3		AK301968	NM_001310153
HGNC:27256	GOLGA6L4	golgin A6 family like 4			BC101294	NM_001267536
HGNC:30472	GOLGA6L5P	golgin A6 family like 5, pseudogene	GOLGA6L5	FLJ35171, FLJ40113, GOLGA6L8	AK097432	NR_003246
HGNC:37225	GOLGA6L6	golgin A6 family like 6 (gene/pseudogene)		FLJ36131	AK093450	NM_001145004
HGNC:37442	GOLGA6L7	golgin A6 family like 7	GOLGA6L7P		AK302238	XR_078490
HGNC:37229	GOLGA6L9	golgin A6 family like 9	GOLGA6L20		BC041854	NM_198181
HGNC:56873	GOLGA6L9-AS1	GOLGA6L9 antisense RNA 1				
HGNC:37228	GOLGA6L10	golgin A6 family like 10	GOLGA6L18			NM_001164465
HGNC:23958	GOLGA6L11P	golgin A6 family like 11, pseudogene	GOLGA6L15P			NG_002946
HGNC:23959	GOLGA6L12P	golgin A6 family like 12, pseudogene				NG_002945
HGNC:23960	GOLGA6L13P	golgin A6 family like 13, pseudogene				NG_002944
HGNC:23961	GOLGA6L14P	golgin A6 family like 14, pseudogene				NG_002943
HGNC:38114	GOLGA6L15P	symbol withdrawn, see [HGNC:23958](/data/gene-symbol-report/#!/hgnc_id/HGNC:23958)				
HGNC:38117	GOLGA6L16P	golgin A6 family like 16, pseudogene				
HGNC:49414	GOLGA6L17P	golgin A6 family like 17, pseudogene	GOLGA6L21P			
HGNC:49415	GOLGA6L18	symbol withdrawn, see [HGNC:37228](/data/gene-symbol-report/#!/hgnc_id/HGNC:37228)				
HGNC:49416	GOLGA6L19	golgin A6 family like 19				
HGNC:49391	GOLGA6L20	symbol withdrawn, see [HGNC:37229](/data/gene-symbol-report/#!/hgnc_id/HGNC:37229)				
HGNC:49417	GOLGA6L21P	symbol withdrawn, see [HGNC:49414](/data/gene-symbol-report/#!/hgnc_id/HGNC:49414)				
HGNC:50289	GOLGA6L22	golgin A6 family like 22				NM_001271664
HGNC:55697	GOLGA6L23P	golgin A6 family like 23, pseudogene				
HGNC:55710	GOLGA6L24	golgin A6 family like 24	GOLGA6L24P			
HGNC:55711	GOLGA6L25	golgin A6 family like 25	GOLGA6L25P			
HGNC:56306	GOLGA6L26	golgin A6 family like 26				
HGNC:24876	GOLGA7	golgin A7		GCP16, HSPC041, GOLGA3AP1, GOLGA7A	AF125102	NM_016099
HGNC:31668	GOLGA7B	golgin A7 family member B	C10orf133, C10orf132	bA459F3.4, bA451M19.3	BC008047	NM_001010917
HGNC:45232	GOLGA7B-DT	GOLGA7B divergent transcript	LINC00866			
HGNC:31972	GOLGA8A	golgin A8 family member A		GM88, GOLGIN-67, FAP286, CFAP286	BX648160	NM_181076
HGNC:31973	GOLGA8B	golgin A8 family member B			AF164622	NM_001023567
HGNC:32375	GOLGA8CP	golgin A8 family member C, pseudogene	GOLGA8C			
HGNC:32376	GOLGA8DP	golgin A8 family member D, pseudogene	GOLGA8D			NR_027407
HGNC:32377	GOLGA8EP	golgin A8 family member E, pseudogene	GOLGA8E			NR_033350.1
HGNC:32378	GOLGA8F	golgin A8 family member F		DKFZp434P162		NM_001350920
HGNC:25328	GOLGA8G	golgin A8 family member G		DKFZp434K052		NM_001350919
HGNC:37443	GOLGA8H	golgin A8 family member H		GOLGA6L11		NM_001282490
HGNC:26660	GOLGA8IP	golgin A8 family member I, pseudogene	GOLGA9P, GOLGA8I	FLJ35785	AK093104	NR_024074
HGNC:38650	GOLGA8J	golgin A8 family member J				NM_001282472
HGNC:38652	GOLGA8K	golgin A8 family member K				NM_001282493
HGNC:44404	GOLGA8M	golgin A8 family member M				NM_001282468
HGNC:44405	GOLGA8N	golgin A8 family member N				NM_001282494
HGNC:44406	GOLGA8O	golgin A8 family member O				
HGNC:44408	GOLGA8Q	golgin A8 family member Q				NM_001355476
HGNC:44407	GOLGA8R	golgin A8 family member R				NM_001282484
HGNC:44409	GOLGA8S	golgin A8 family member S				NM_001355465
HGNC:44410	GOLGA8T	golgin A8 family member T				NM_001355469
HGNC:44411	GOLGA8UP	golgin A8 family member U, pseudogene				
HGNC:49920	GOLGA8VP	golgin A8 family member V, pseudogene				
HGNC:4429	GOLGB1	golgin B1		GCP, GCP372, giantin, GOLIM1	X75304	NM_004487
HGNC:15448	GOLIM4	golgi integral membrane protein 4	GOLPH4	GPP130, GIMPC, P138	U55853	
HGNC:15451	GOLM1	golgi membrane protein 1	GOLPH2, C9orf155	GP73, FLJ23608, bA379P1.3	AF236056	NM_177937
HGNC:24892	GOLM2	golgi membrane protein 2	CASC4	H63, DKFZp459F1927	AF103804	NM_138423
HGNC:39251	GOLM2P1	GOLM2 pseudogene 1	CASC4P1			
HGNC:15452	GOLPH3	golgi phosphoprotein 3		GPP34, GOPP1, MIDAS, Vps74	AK075156	NM_022130
HGNC:55231	GOLPH3-DT	GOLPH3 divergent transcript				
HGNC:24882	GOLPH3L	golgi phosphoprotein 3 like		GPP34R	AJ296153	NM_018178
HGNC:24766	GOLT1A	golgi transport 1A		FLJ42654, CGI-141, YMR292W, GOT1, MGC62027	BC058832	NM_198447
HGNC:20175	GOLT1B	golgi transport 1B		CGI-141, YMR292W, GOT1	AB097020	NM_016072
HGNC:25973	GON4L	gon-4 like	GON4	FLJ20203, GON-4, YARP	AB046826	NM_032292
HGNC:20356	GON7	GON7 subunit of KEOPS complex	C14orf142		AF277185	NM_032490
HGNC:17643	GOPC	golgi associated PDZ and coiled-coil motif containing		dJ94G16.2, PIST, FIG, GOPC1, CAL	AF287894	NM_020399
HGNC:25676	GORAB	golgin, RAB6 interacting	SCYL1BP1	FLJ11752, NTKL-BP1, GO	AK021814	NM_152281
HGNC:54051	GORAB-AS1	GORAB antisense RNA 1				NR_125958
HGNC:16769	GORASP1	golgi reassembly stacking protein 1	GOLPH5	GRASP65, P65, FLJ23443	AJ409349	NM_031899
HGNC:17500	GORASP2	golgi reassembly stacking protein 2		GRASP55, GRS2, GOLPH6		
HGNC:4430	GOSR1	golgi SNAP receptor complex member 1		GOS28, P28, GS28, GOS-28, GOLIM2	AF047438	
HGNC:4431	GOSR2	golgi SNAP receptor complex member 2		GS27, Bos1	AF007548	
HGNC:55346	GOSR2-DT	GOSR2 divergent transcript	LINC01974			
HGNC:4432	GOT1	glutamic-oxaloacetic transaminase 1		AST1, SGOT, AST	M37400	NM_002079
HGNC:55848	GOT1-DT	GOT1 divergent transcript				
HGNC:28487	GOT1L1	glutamic-oxaloacetic transaminase 1 like 1		MGC33309	BC029504	NM_152413
HGNC:4433	GOT2	glutamic-oxaloacetic transaminase 2		mitAAT, KATIV, KAT4, KYAT4, mAspAT		NM_002080
HGNC:4434	GOT2P1	GOT2 pseudogene 1	GOT2L1			
HGNC:4435	GOT2P2	GOT2 pseudogene 2	GOT2L2			
HGNC:4436	GOT2P3	GOT2 pseudogene 3	GOT2L3, GOT2L3P			
HGNC:22936	GOT2P4	GOT2 pseudogene 4		GOT2L4		NG_008829
HGNC:38439	GOT2P5	GOT2 pseudogene 5		GOT2Y		
HGNC:54891	GOT2P6	GOT2 pseudogene 6				NG_022661
HGNC:54892	GOT2P7	GOT2 pseudogene 7				NG_026658
HGNC:4437	GOV	symbol withdrawn, see [HGNC:9779](/data/gene-symbol-report/#!/hgnc_id/HGNC:9779)		D2-2		
HGNC:4438	GOX1	symbol withdrawn, see [HGNC:4809](/data/gene-symbol-report/#!/hgnc_id/HGNC:4809)				
HGNC:4439	GP1BA	glycoprotein Ib platelet subunit alpha	GP1B	CD42b, GPIbalpha		
HGNC:4440	GP1BB	glycoprotein Ib platelet subunit beta		CD42c, GPIbbeta		
HGNC:4441	GP2	glycoprotein 2		ZAP75	U36221	NM_016295
HGNC:4442	GP2B	symbol withdrawn, see [HGNC:6138](/data/gene-symbol-report/#!/hgnc_id/HGNC:6138)				
HGNC:4443	GP5	glycoprotein V platelet		CD42d	L11238	NM_004488
HGNC:14388	GP6	glycoprotein VI platelet		GPVI	AB035073	
HGNC:55305	GP6-AS1	GP6 antisense RNA 1				
HGNC:4444	GP9	glycoprotein IX platelet		CD42a, GPIX		
HGNC:4445	GPA33	glycoprotein A33		A33	U79725	NM_005814
HGNC:4446	GPAA1	glycosylphosphatidylinositol anchor attachment 1		GAA1, hGAA1	AB006969	NM_003801
HGNC:4447	GPAA1P1	glycosylphosphatidylinositol anchor attachment 1 pseudogene 1			AB017268	
HGNC:51484	GPAA1P2	glycosylphosphatidylinositol anchor attachment 1 pseudogene 2				
HGNC:20298	GPALPP1	GPALPP motifs containing 1	KIAA1704	bA245H20.2, AD029, LSR7	AB051491	NM_018559
HGNC:24865	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial		KIAA1560, MGC26846, GPAT1	AL832464	NM_020918
HGNC:13920	GPANK1	G-patch domain and ankyrin repeats 1	BAT4	G5, D6S54E, GPATCH10, ANKRD59		NM_033177
HGNC:27168	GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial		CT123	BC042847	NM_207328
HGNC:52330	GPAT2P1	glycerol-3-phosphate acyltransferase 2 pseudogene 1				
HGNC:52331	GPAT2P2	glycerol-3-phosphate acyltransferase 2 pseudogene 2				
HGNC:28157	GPAT3	glycerol-3-phosphate acyltransferase 3	AGPAT9	MGC11324, LPAAT-theta, MAG1, HMFN0839, AGPAT10	AK055749	NM_032717
HGNC:20880	GPAT4	glycerol-3-phosphate acyltransferase 4	AGPAT6	DKFZp586M1819, LPAAT-zeta, TSARG7	AF406612	NM_178819
HGNC:55539	GPAT4-AS1	GPAT4 and GINS4 antisense RNA 1		GIAT4RA		NR_125824
HGNC:24658	GPATCH1	G-patch domain containing 1	GPATC1	ECGP, FLJ10206, FLJ38686	AF434677	NM_018025
HGNC:25499	GPATCH2	G-patch domain containing 2	GPATC2	FLJ10252, CT110, PPP1R30, Pfa1	AK001114	NM_018040
HGNC:20210	GPATCH2L	G-patch domain containing 2 like	C14orf118	FLJ20689, FLJ10033	AK000696	NM_017926
HGNC:25720	GPATCH3	G-patch domain containing 3	GPATC3	FLJ12455	BC007767	NM_022078
HGNC:25982	GPATCH4	G-patch domain containing 4 (gene/pseudogene)	GPATC4	FLJ20249, DKFZP434F1735	BC056904	NM_001396855
HGNC:29066	GPATCH8	G-patch domain containing 8	KIAA0553, GPATC8		AB011125	NM_001002909
HGNC:26768	GPATCH11	G-patch domain containing 11	CCDC75	FLJ38348, CENPY, CENP-Y	AK095667	NM_174931
HGNC:42659	GPATCH11P1	GPATCH11 pseudogene 1	CCDC75P1			NG_022207
HGNC:4448	GPB	glycerol phosphatase, beta-				
HGNC:19680	GPBAR1	G protein-coupled bile acid receptor 1		BG37, GPCR, TGR5, M-BAR, GPCR19, GPR131, MGC40597	AB086170	NM_001077191
HGNC:29520	GPBP1	GC-rich promoter binding protein 1		DKFZp761C169		NM_022913
HGNC:28843	GPBP1L1	GC-rich promoter binding protein 1 like 1		SP192		NM_021639
HGNC:4449	GPC1	glypican 1		glypican	AK095397	NM_002081
HGNC:56102	GPC1-AS1	GPC1 antisense RNA 1				NR_161169
HGNC:4450	GPC2	glypican 2		cerebroglycan, FLJ38962, DKFZp547M109	BX375153	NM_152742
HGNC:4451	GPC3	glypican 3	SDYS	OCI-5, SGBS, SGBS1, SGB, DGSX	L47125	NM_004484
HGNC:52897	GPC3-AS1	GPC3 antisense RNA 1			AF085935	NR_148713
HGNC:4452	GPC4	glypican 4		K-glypican	AF030186	NM_001448
HGNC:4453	GPC5	glypican 5			AF001462	NM_004466
HGNC:39886	GPC5-AS1	GPC5 antisense RNA 1				
HGNC:39887	GPC5-AS2	GPC5 antisense RNA 2				
HGNC:41340	GPC5-IT1	GPC5 intronic transcript 1				
HGNC:4454	GPC6	glypican 6			AF111178	NM_005708
HGNC:39909	GPC6-AS1	GPC6 antisense RNA 1				
HGNC:39910	GPC6-AS2	GPC6 antisense RNA 2				
HGNC:26957	GPCPD1	glycerophosphocholine phosphodiesterase 1		KIAA1434, GDE5, GDPD6		NM_019593
HGNC:33851	GPCPD1P1	GPCPD1 pseudogene 1				
HGNC:4455	GPD1	glycerol-3-phosphate dehydrogenase 1				
HGNC:28956	GPD1L	glycerol-3-phosphate dehydrogenase 1 like		KIAA0089	D42047	NM_015141
HGNC:4456	GPD2	glycerol-3-phosphate dehydrogenase 2				
HGNC:4457	GPDS1	glaucoma-related pigment dispersion syndrome 1				
HGNC:4485	GPER1	G protein-coupled estrogen receptor 1	CMKRL2, GPR30, GPER	FEG-1, GPCR-Br, LERGU, LERGU2, DRY12, LyGPR, CEPR	U63917	NM_001039966
HGNC:18054	GPHA2	glycoprotein hormone subunit alpha 2		GPA2, ZSIG51, A2, MGC126572	AF260739	NM_130769
HGNC:18055	GPHB5	glycoprotein hormone subunit beta 5		ZLUT1, GPB5	AF467770	NM_145171
HGNC:15465	GPHN	gephyrin		KIAA1385, GEPH, GPH	AB037806	NM_020806
HGNC:4458	GPI	glucose-6-phosphate isomerase		AMF, NLK	M61214	
HGNC:24945	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1		LOC338328, GPI-HBP1	AF088057	NM_178172
HGNC:30677	GPKOW	G-patch domain and KOW motifs		T54, GPATC5, GPATCH5, Spp2, Mos2	U66359	NM_015698
HGNC:4459	GPLD1	glycosylphosphatidylinositol specific phospholipase D1			L11701	NM_001503
HGNC:4460	GPM6A	glycoprotein M6A	GPM6			
HGNC:55577	GPM6A-DT	GPM6A divergent transcript				NR_125901
